Ref,Val,Package,PosX,PosY,Rot,Side
"FID4","Fiducial","Fiducial_1mm_Mask2mm",28.030000,-40.290000,180.000000,bottom
"FID5","Fiducial","Fiducial_1mm_Mask2mm",102.370000,-100.330000,180.000000,bottom
"FID6","Fiducial","Fiducial_1mm_Mask2mm",40.630000,-102.490000,180.000000,bottom
"C1","10u","C_1206_3216Metric",43.800000,-56.600000,-90.000000,top
"C2","10u","C_1206_3216Metric",43.800000,-45.900000,-90.000000,top
"C3","10u","C_1206_3216Metric",46.100000,-56.624999,-90.000000,top
"C4","10u","C_1206_3216Metric",46.100000,-45.924999,-90.000000,top
"C5","10u","C_1206_3216Metric",39.270000,-73.770000,90.000000,top
"C6","100n","C_0805_2012Metric",61.920000,-37.709999,-90.000000,top
"C7","10n","C_0805_2012Metric",78.840000,-38.975001,90.000000,top
"C8","1u","C_0805_2012Metric",90.595000,-37.009999,90.000000,top
"C9","1u","C_0805_2012Metric",81.769999,-42.535000,180.000000,top
"C10","1u","C_0805_2012Metric",81.320000,-53.110000,0.000000,top
"C11","1u","C_0805_2012Metric",75.095001,-44.985000,180.000000,top
"C12","100n","C_0805_2012Metric",82.295000,-65.150000,0.000000,top
"C13","100n","C_0805_2012Metric",82.095000,-76.625000,0.000000,top
"C14","1u","C_0805_2012Metric",86.895000,-78.475001,90.000000,top
"C15","1u","C_0805_2012Metric",80.220000,-84.250000,0.000000,top
"C16","1u","C_0805_2012Metric",86.845000,-66.675001,90.000000,top
"C17","1u","C_0805_2012Metric",80.320000,-72.800000,0.000000,top
"C18","100n","C_0805_2012Metric",82.145000,-89.000000,0.000000,top
"C19","1u","C_0805_2012Metric",86.895000,-90.825001,90.000000,top
"C20","1u","C_0805_2012Metric",80.245000,-96.600000,0.000000,top
"C21","1u","C_0805_2012Metric",72.170000,-77.875001,90.000000,top
"C22","1u","C_0805_2012Metric",62.970000,-80.425000,-90.000000,top
"C23","1u","C_0805_2012Metric",73.120000,-89.575000,90.000000,top
"C24","1u","C_0805_2012Metric",63.820000,-92.124999,-90.000000,top
"C25","1n","C_0805_2012Metric",45.035000,-92.765001,-90.000000,top
"C26","1n","C_0805_2012Metric",47.010000,-87.440000,-90.000000,top
"C27","1n","C_0805_2012Metric",40.885000,-84.740000,180.000000,top
"C28","360p","C_0805_2012Metric",53.197500,-89.540000,0.000000,top
"C29","2.2n","C_0805_2012Metric",100.320000,-28.030000,0.000000,top
"C30","1u","C_0805_2012Metric",105.050000,-29.940000,90.000000,top
"C31","1u","C_0805_2012Metric",98.330000,-35.700000,0.000000,top
"C32","2.2n","C_0805_2012Metric",100.130000,-39.890000,0.000000,top
"C33","1u","C_0805_2012Metric",117.180000,-28.100000,90.000000,top
"C34","1u","C_0805_2012Metric",110.740000,-33.890000,0.000000,top
"C35","1u","C_0805_2012Metric",105.000000,-41.780000,90.000000,top
"C36","1u","C_0805_2012Metric",98.190000,-47.540000,0.000000,top
"C37","1u","C_0805_2012Metric",117.200000,-39.860000,90.000000,top
"C38","1u","C_0805_2012Metric",110.410000,-45.630000,0.000000,top
"C39","1u","C_0805_2012Metric",108.350000,-69.720000,-90.000000,top
"C40","1u","C_0805_2012Metric",107.900000,-61.610000,0.000000,top
"C41","1u","C_0805_2012Metric",101.730000,-55.180000,-90.000000,top
"C42","1u","C_0805_2012Metric",106.770000,-73.130000,0.000000,top
"C43","2.2n","C_0805_2012Metric",118.590000,-62.530000,0.000000,top
"C44","1u","C_0805_2012Metric",123.370000,-64.479999,90.000000,top
"C45","1u","C_0805_2012Metric",117.080000,-70.180000,0.000000,top
"C46","1u","C_0805_2012Metric",110.830000,-86.330000,90.000000,top
"C47","1u","C_0805_2012Metric",104.360000,-92.320000,0.000000,top
"C48","1u","C_0805_2012Metric",121.810000,-89.090000,90.000000,top
"C49","1u","C_0805_2012Metric",112.210000,-93.520000,90.000000,top
"D1","SMBJ18CA","D_SMB",40.400000,-56.550001,90.000000,top
"D2","SMBJ18CA","D_SMB",40.400000,-46.050001,90.000000,top
"D3","STPS2H100A","SMA_STM",38.469600,-62.100000,0.000000,top
"D4","STPS2H100A","SMA_STM",38.500000,-40.500000,180.000000,top
